artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,526,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,0,0.01,10.140513420105,0,200,0,100,0.5,25,0.1,1,0.6,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,1,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.04787802696228,0,200,0,100,0.5,26,0.1,1,0.52160602103175,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,2,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,2.36828327178955,0,200,0,100,0.5,27,0.1,1,0.422663765300366,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,3,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,3.53653240203857,0,200,0,100,0.5,28,0.1,1,0.339081589757904,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,4,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,3.19435429573059,0,200,0,100,0.5,29,0.1,1,0.263106634003767,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,5,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,5.17945098876953,0,200,0,100,0.5,30,0.1,1,0.201104070625511,increase,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,image,0.6,0.4,0.1,ab,0,694.399658203125,279.280639648437
8,3.5,1,0.01,2.8958477973938,0,200,0,100,0.5,54,0.1,1,0.373312093752049,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.57999777793884,0,200,0,100,0.5,55,0.1,1,0.330258570966739,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.37466859817505,0,200,0,100,0.5,56,0.1,1,0.291432347272083,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.71300172805786,0,200,0,100,0.5,57,0.1,1,0.266381567422042,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.52246809005737,0,200,0,100,0.5,58,0.1,1,0.245128988499753,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.94608116149902,0,200,0,100,0.5,59,0.1,1,0.223734707583929,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.60869455337524,0,200,0,100,0.5,60,0.1,1,0.199842426797519,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,3.1171977519989,0,200,0,100,0.5,61,0.1,1,0.184027707239099,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.43570041656494,0,200,0,100,0.5,62,0.1,1,0.170662944036889,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,4.25875926017761,0,200,0,100,0.5,63,0.1,1,0.15888624659036,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.69520831108093,0,200,0,100,0.5,64,0.1,1,0.148039245123567,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.79653739929199,0,200,0,100,0.5,65,0.1,1,0.135762044820518,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,4.19050002098084,0,200,0,100,0.5,66,0.1,1,0.121608145825273,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,6,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,5.94787859916687,0,200,0,100,0.5,177,0.1,1,0.373312093752049,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,20,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,6.30634737014771,0,200,0,100,0.5,178,0.1,1,0.330258570966739,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,21,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.95547270774841,0,200,0,100,0.5,179,0.1,1,0.291432347272083,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,22,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,3.05466270446777,0,200,0,100,0.5,180,0.1,1,0.266381567422042,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,23,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.63552570343018,0,200,0,100,0.5,181,0.1,1,0.245128988499753,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943,40,0.82,24,none,0.6,0.4,0.1,ab,0,,
